Spanish,English
la familia,family
los parientes,relatives
el padre,father
la madre,mother
"el esposo, el marido",husband
"la esposa, la mujer",wife
el/la hijo(a),son/daughter
el/la hermano(a),brother/sister
el/la abuelo(a),grandfather/grandmother
el/la nieto(a),grandson/granddaughter
el/la tío(a),uncle/aunt
el/la sobrino(a),nephew/niece
el/la primo(a),cousin
el gato,cat
el perro,dog
joven,young
"viejo(a), anciano(a)",old
el cumpleaños,birthday
el regalo,gift
la celebración,celebration
tener,to have
cumplir... años,to be ... years old
invitar,to invite
la sala,living room
el comedor,dining room
la cocina,kitchen
"el cuarto, el dormitorio",bedroom
la recámara,bedroom
el cuarto de baño,bathroom
la casa,house
"el apartamento, el departamento",apartment
la calle,street
el jardín,garden
el garaje,garage
el carro,car
la planta baja,ground floor
el piso,floor
el ascensor,elevator
la escalera,stairway
"privado(a), particular",private
alrededor de,around
cerca de,near
subir,to go up
el periódico,newspaper
la revista,magazine
el libro,book
la película,movie
la emisión deportiva,sportscast; sports program
las noticias,news
ver la televisión,to watch television
escribir una carta,to write a letter
los gemelos,twins
el hijo único / la hija única,only child
el/la suegro/a,father/mother-in-law
el yerno,son-in-law
la nuera,daughter-in-law
"el/la cuñado/a",brother/sister-in-law
el padrastro,stepfather
la madrastra,stepmother
