Left Side,Full Formula,Formula Name ^1
$\sin(2\theta)$,$\sin(2\theta) = 2\sin(\theta)\cos(\theta)$,Double Angle Sine
$\cos(2\theta)$,$\cos(2\theta) = \cos^2(\theta) - \sin^2(\theta)$\n$ = 2\cos^2(\theta) - 1$\n$ = 1 - 2\sin^2(\theta)$,Double Angle Cosine
$\tan(2\theta)$,$\tan(2\theta) = \frac{2\tan(\theta)}{1 - \tan^2(\theta)}$,Double Angle Tangent
$\sin\left(\frac{\theta}{2}\right)$,$\sin\left(\frac{\theta}{2}\right) = \pm\sqrt{\frac{1 - \cos(\theta)}{2}}$,Half Angle Sine
$\cos\left(\frac{\theta}{2}\right)$,$\cos\left(\frac{\theta}{2}\right) = \pm\sqrt{\frac{1 + \cos(\theta)}{2}}$,Half Angle Cosine
$\tan\left(\frac{\theta}{2}\right)$,$\tan\left(\frac{\theta}{2}\right) = \pm\sqrt{\frac{1 - \cos(\theta)}{1 + \cos(\theta)}}$\n$ = \frac{1 - \cos(\theta)}{\sin(\theta)}$\n$ = \frac{\sin(\theta)}{1 + \cos(\theta)}$,Half Angle Tangent
$\sin(\alpha \pm \beta)$,$\sin(\alpha \pm \beta) = \sin(\alpha)\cos(\beta) \pm \cos(\alpha)\sin(\beta)$,Sum and Difference Sine
$\cos(\alpha \pm \beta)$,$\cos(\alpha \pm \beta) = \cos(\alpha)\cos(\beta) \mp \sin(\alpha)\sin(\beta)$,Sum and Difference Cosine
$\tan(\alpha \pm \beta)$,$\tan(\alpha \pm \beta) = \frac{\tan(\alpha) \pm \tan(\beta)}{1 \mp \tan(\alpha)\tan(\beta)}$,Sum and Difference Tangent
