中文诗句,拼音,相应朝代 2
夏商与西周,Xià Shāng yǔ Xī Zhōu,夏朝、商朝、西周
东周分两段,Dōng Zhōu fēn liǎng duàn,东周
春秋和战国,Chūn Qiū hé Zhàn Guó,春秋、战国
一统秦两汉,Yī tǒng Qín liǎng Hàn,秦朝、西汉、东汉
三分魏蜀吴,Sān fēn Wèi Shǔ Wú,三国 (魏、蜀、吴)
两晋前后延,Liǎng Jìn qián hòu yán,西晋、东晋、十六国 (前延)
南北朝并立,Nán Běi Cháo bìng lì,南北朝
隋唐五代传,Suí Táng wǔ dài chuán,隋朝、唐朝、五代十国
宋元明清后,Sòng Yuán Míng Qīng hòu,宋朝、元朝、明朝、清朝
王朝至此完,Wáng Cháo zhì cǐ wán,中华民国、中华人民共和国 (现代)
