Chinese,Pinyin,English Meaning
任用,rènyòng,To appoint; to assign
废除,fèichú,To abolish; to abrogate
孝,xiào,Filial piety; to be filial
奖励,jiǎnglì,To reward; reward (noun)
普遍,pǔbiàn,Universal; widespread; common
支持,zhīchí,To support; support (noun)
改革,gǎigé,To reform; reform (noun)
争论,zhēnglùn,To dispute; to argue; controversy
耕地,gēngdì,Cultivated land; farmland
冶炼,yěliàn,To smelt; to refine (metals)
程度,chéngdù,Extent; degree; level
邀请,yāoqǐng,To invite; invitation
