Spanish,English,Notes
¿Por qué?,Why?,Statement - Because
¿Cómo?,How?,How
¿Qué?,What?,What
¿Cuándo?,When?,When
¿Cuánto?,How much?,
¿Quién?,Who?,
¿Cuál?,Which?,Which articles
¿Dónde?,Where?,Someone is
¿De dónde?,Where from?,
¿Adónde?,Where to?,
¿Qué hora es?,What time is it?,
¿A qué hora?,At what time?,
