Chinese,Pinyin 1,English Meaning 2
装饰,zhuāngshì,Decoration; to decorate
考古,kǎogǔ,Archaeology
联合,liánhé,Unite; joint; alliance
独立,dúlì,Independent; independence
观念,guānniàn,Concept; notion; idea
陆续,lùxù,In succession; one after another
氏族,shìzú,Clan; family (as a social unit)
遗址,yízhǐ,Ruins; historical site; relic site
完整,wánzhěng,Complete; intact; whole
元谋,Yuánmóu,"Yuanmou (a county in Yunnan, famous for Yuanmou Man)"
猿人,yuánrén,Apeman; Homo erectus
