Spanish,English
los materiales escolares,school supplies
la mochila,backpack; knapsack
el lápiz; los lápices,pencil; pencils
el bolígrafo; la pluma,ballpoint pen
el marcador,marker
la goma de borrar,eraser
el cuaderno; el bloc,notebook; writing pad
la carpeta,folder
el libro,book
la hoja de papel,sheet of paper
la calculadora,calculator
el disquete,diskette
la ropa,clothes
el pantalón,pants
la camisa,shirt
la corbata,tie
el T-shirt; la camiseta,T-shirt; undershirt
el blue jean; los blue jeans,blue jeans
la falda,skirt
la blusa,blouse
la chaqueta,jacket
el traje,suit
la gorra,cap; hat
los calcetines,socks
los zapatos,shoes
los tenis; un par de tenis,tennis shoes; sneakers
largo(a),long
corto(a),short
¿De qué color es?,What color is it?
blanco(a),white
negro(a),black
gris,gray
azul,blue
amarillo(a),yellow
anaranjado(a),orange
rojo(a),red
rosado(a),pink
verde,green
de color marrón,brown
la papelería,stationery store
la tienda de ropa,clothing store
el/la dependiente,employee
el/la empleado,employee
la caja,cash register
la talla; el tamaño,size
el número,number; size (shoes)
barato(a),cheap
caro(a),expensive
mucho,a lot
poco,little
necesitar,to need
buscar,to look for
mirar,to look
comprar,to buy
pagar,to pay
usar; calzar,to take; wear (shoe size)
llevar,to carry; to wear; to bring
hablar,to talk
trabajar,to work
¿Qué desea Ud.?,May I help you?
¿Cuánto es?,How much is it?
¿Cuánto cuesta?,How much does it cost?
