Spanish,English
"el café","café"
"la mesa","table"
"el/la mesero(a), el/la camarero(a)","waiter"
"el menú","menu"
"la orden","order"
"la cuenta","bill"
"libre","free"
"ocupado(a)","occupied"
"ver","to see"
"leer","to read"
"comer","to eat"
"beber","to drink"
"¿Qué desean Uds.?","What would you like?"
"¿Está incluido el servicio?","Is the tip included?"
"los refrescos","drinks"
"una cola","cola"
"un café solo","black coffee"
"un café con leche","coffee with milk"
"un té helado","iced tea"
"una limonada","lemonade"
"el cereal","cereal"
"el pan tostado","toast"
"un yogur","yogurt"
"una sopa","soup"
"un bocadillo, un sándwich","sandwich"
"el jamón","ham"
"el queso","cheese"
"una hamburguesa","hamburger"
"papas fritas","French fries"
"una tortilla","tortilla"
"una ensalada","salad"
"el postre","dessert"
"un helado de vainilla (de chocolate)","vanilla ice cream (chocolate ice cream)"
"un pan dulce","sweet roll"
"el mercado","market"
"el supermercado","supermarket"
"un bote, una lata","can"
"un paquete","package"
"una bolsa","bag"
"un kilo","kilogram"
"congelado(a)","frozen"
"vender","to sell"
"¿A cuánto está(n)...?","How much are...?"
"algo más","something else"
"nada más","nothing else"
"los vegetales","vegetables"
"los guisantes","peas"
"las habichuelas, los frijoles","beans"
"las judías verdes","green beans"
"las zanahorias","carrots"
"las papas","potatoes"
"la lechuga","lettuce"
"las frutas","fruits"
"las naranjas","oranges"
"las manzanas","apples"
"los plátanos","bananas"
"los tomates","tomatoes"
"la carne","meat"
"el biftec","steak"
"los mariscos","shellfish"
"el pescado","fish"
"el pollo","chicken"
"el huevo","egg"
"el atún","tunafish"
"el arroz","rice"
"las comidas","meals"
"el desayuno","breakfast"
"el almuerzo","lunch"
"la cena","dinner"
"junto(a)s","together"
"antes de","before"
"después de","after"
"enseguida","at once"
"comprender","to understand"
"aprender","to learn"
"escribir","to write"
"recibir","to receive"
"vivir","to live"
